,start_time,end_time,runtime,memory,channel_in,channel_out
0,1.6415980074367416e+18,1.6415980076628388e+18,226097186.0,65337428.0,0.0,313.0
1,1.6415980076629952e+18,1.6415980081496172e+18,486621976.0,65337428.0,313.0,0.0
2,1.6415980081498473e+18,1.6415980083611284e+18,211281235.0,65337428.0,0.0,313.0
3,1.6415980083612652e+18,1.6415980088704755e+18,509210236.0,65337428.0,313.0,0.0
4,1.641598008870705e+18,1.6415980088819617e+18,11256891.0,65337428.0,0.0,0.0
5,1.6415980088822141e+18,1.641598009111026e+18,228811718.0,65337428.0,0.0,312.0
6,1.6415980091111588e+18,1.6415980095608788e+18,449720277.0,65337428.0,312.0,0.0
7,1.6415980095611023e+18,1.641598009737075e+18,175972605.0,65337428.0,0.0,313.0
8,1.6415980097372178e+18,1.6415980101253059e+18,388087838.0,65337428.0,313.0,0.0
9,1.6415980101255224e+18,1.6415980101312806e+18,5758226.0,65337428.0,0.0,0.0
10,1.6415980101315244e+18,1.6415980103218793e+18,190354855.0,65337428.0,0.0,314.0
11,1.6415980103220173e+18,1.641598010727161e+18,405143652.0,65337428.0,314.0,0.0
12,1.641598010727355e+18,1.6415980107320737e+18,4718855.0,65337428.0,0.0,0.0
13,1.6415980107323845e+18,1.6415980109135263e+18,181141702.0,65337428.0,0.0,314.0
14,1.6415980109137242e+18,1.641598011273005e+18,359280788.0,65337428.0,314.0,0.0
15,1.6415980112732982e+18,1.641598011276625e+18,3326751.0,65337428.0,0.0,0.0
16,1.6415980112767805e+18,1.641598011452006e+18,175225411.0,65337428.0,0.0,314.0
17,1.6415980114521487e+18,1.6415980118208745e+18,368725937.0,65337428.0,314.0,0.0
18,1.641598011821145e+18,1.6415980118345124e+18,13367248.0,65337428.0,0.0,0.0
19,1.641598011834732e+18,1.6415980119932595e+18,158527526.0,65337428.0,0.0,314.0
